SQL_QUERY,EXECUTION_START_TIME,EXECUTION_END_TIME,OUTPUT
select * from prism_config_params limit 11,17:14:20,17:14:20,EXECUTED
insert into prism_config_params values ('PRASENJIT' {COMMA} '-1' {COMMA} 'TEST_TOOL' {COMMA} '123'),17:14:20,17:14:20,EXECUTED
